b,30.83,0.0,u ,g5   ,w,v,1.25,t,+  ,1,fa   ,g,202,0,1
b,18.42,10.415,y ,p5   ,aa,v,0.125,t,-  ,0,fa   ,g,120,375,0
b,22.17,2.25,u ,g5   ,i,v,0.125,f,-  ,0,fa   ,g,160,10,0
b,22.67,0.165,u ,g5   ,c,j,2.25,f,-  ,0,tr   ,s,0,0,1
b,18.83,0.0,u ,g5   ,q,v,0.665,f,-  ,0,fa   ,g,160,1,0
b,21.58,0.79,y ,p5   ,cc,v,0.665,f,-  ,0,fa   ,g,160,0,0
b,23.75,12.0,u ,g5   ,c,v,2.085,f,-  ,0,fa   ,s,80,0,0
b,36.08,2.54,u ,g5   ,ff,ff,0.0,f,-  ,0,fa   ,g,0,1000,0
b,29.25,13.0,u ,g5   ,d,h,0.5,f,-  ,0,fa   ,g,228,0,0
a,19.58,0.665,u ,g5   ,w,v,1.665,f,-  ,0,fa   ,g,220,5,0
a,22.92,1.25,u ,g5   ,q,v,0.25,f,-  ,0,tr   ,g,120,809,0
a,27.25,0.29,u ,g5   ,m,h,0.125,f,+  ,1,tr   ,g,272,108,0
a,38.75,1.5,u ,g5   ,ff,ff,0.0,f,-  ,0,fa   ,g,76,0,0
b,32.42,2.165,y ,p5   ,k,ff,0.0,f,-  ,0,fa   ,g,120,0,0
a,23.75,0.71,u ,g5   ,w,v,0.25,f,+  ,1,tr   ,g,240,4,0
b,18.17,2.46,u ,g5   ,c,n,0.96,f,+  ,2,tr   ,g,160,587,0
b,40.92,0.5,y ,p5   ,m,v,0.5,f,-  ,0,tr   ,g,130,0,0
b,19.5,9.585,u ,g5   ,aa,v,0.79,f,-  ,0,fa   ,g,80,350,0
b,28.58,3.625,u ,g5   ,aa,v,0.25,f,-  ,0,tr   ,g,100,0,0
b,35.58,0.75,u ,g5   ,k,v,1.5,f,-  ,0,tr   ,g,231,0,0
b,34.17,2.75,u ,g5   ,i,bb,2.5,f,-  ,0,tr   ,g,232,200,0
b,31.58,0.75,y ,p5   ,aa,v,3.5,f,-  ,0,tr   ,g,320,0,0
a,52.5,7.0,u ,g5   ,aa,h,3.0,f,-  ,0,fa   ,g,0,0,0
b,36.17,0.42,y ,p5   ,w,v,0.29,f,-  ,0,tr   ,g,309,2,0
b,37.33,2.665,u ,g5   ,cc,v,0.165,f,-  ,0,tr   ,g,0,501,0
a,20.83,8.5,u ,g5   ,c,v,0.165,f,-  ,0,fa   ,g,0,351,0
b,24.08,9.0,u ,g5   ,aa,v,0.25,f,-  ,0,tr   ,g,0,0,0
b,25.58,0.335,u ,g5   ,k,h,3.5,f,-  ,0,tr   ,g,340,0,0
a,35.17,3.75,u ,g5   ,ff,ff,0.0,f,+  ,6,fa   ,g,0,200,0
b,48.08,3.75,u ,g5   ,i,bb,1.0,f,-  ,0,fa   ,g,100,2,0
a,15.83,7.625,u ,g5   ,q,v,0.125,f,+  ,1,tr   ,g,0,160,0
a,22.5,0.415,u ,g5   ,i,v,0.335,f,-  ,0,tr   ,s,144,0,0
b,21.5,11.5,u ,g5   ,i,v,0.5,t,-  ,0,tr   ,g,100,68,0
a,23.58,0.83,u ,g5   ,q,v,0.415,f,+  ,1,tr   ,g,200,11,0
a,21.08,5.0,y ,p5   ,ff,ff,0.0,f,-  ,0,fa   ,g,0,0,0
b,25.67,3.25,u ,g5   ,c,h,2.29,f,+  ,1,tr   ,g,416,21,0
a,38.92,1.665,u ,g5   ,aa,v,0.25,f,-  ,0,fa   ,g,0,390,0
a,15.75,0.375,u ,g5   ,c,v,1.0,f,-  ,0,fa   ,g,120,18,0
a,28.58,3.75,u ,g5   ,c,v,0.25,f,+  ,1,tr   ,g,40,154,0
b,22.25,9.0,u ,g5   ,aa,v,0.085,f,-  ,0,fa   ,g,0,0,0
b,29.83,3.5,u ,g5   ,c,v,0.165,f,-  ,0,fa   ,g,216,0,0
a,23.5,1.5,u ,g5   ,w,v,0.875,f,-  ,0,tr   ,g,160,0,0
b,32.08,4.0,y ,p5   ,cc,v,1.5,f,-  ,0,tr   ,g,120,0,0
b,31.08,1.5,y ,p5   ,w,v,0.04,f,-  ,0,fa   ,s,160,0,0
b,31.83,0.04,y ,p5   ,m,v,0.04,f,-  ,0,fa   ,g,0,0,0
a,21.75,11.75,u ,g5   ,c,v,0.25,f,-  ,0,tr   ,g,180,0,0
a,17.92,0.54,u ,g5   ,c,v,1.75,f,+  ,1,tr   ,g,80,5,0
b,30.33,0.5,u ,g5   ,d,h,0.085,f,-  ,0,tr   ,s,252,0,0
b,51.83,2.04,y ,p5   ,ff,ff,1.5,f,-  ,0,fa   ,g,120,1,0
b,47.17,5.835,u ,g5   ,w,v,5.5,f,-  ,0,fa   ,g,465,150,0
b,25.83,12.835,u ,g5   ,cc,v,0.5,f,-  ,0,fa   ,g,0,2,0
a,50.25,0.835,u ,g5   ,aa,v,0.5,f,-  ,0,tr   ,g,240,117,0
a,37.33,2.5,u ,g5   ,i,h,0.21,f,-  ,0,fa   ,g,260,246,0
a,41.58,1.04,u ,g5   ,aa,v,0.665,f,-  ,0,fa   ,g,240,237,0
a,30.58,10.665,u ,g5   ,q,h,0.085,f,+  ,12,tr   ,g,129,3,0
b,19.42,7.25,u ,g5   ,m,v,0.04,f,+  ,1,fa   ,g,100,1,0
a,17.92,10.21,u ,g5   ,ff,ff,0.0,f,-  ,0,fa   ,g,0,50,0
a,20.08,1.25,u ,g5   ,c,v,0.0,f,-  ,0,fa   ,g,0,0,0
b,19.5,0.29,u ,g5   ,k,v,0.29,f,-  ,0,fa   ,g,280,364,0
b,27.83,1.0,y ,p5   ,d,h,3.0,f,-  ,0,fa   ,g,176,537,0
b,17.08,3.29,u ,g5   ,i,v,0.335,f,-  ,0,tr   ,g,140,2,0
b,36.42,0.75,y ,p5   ,d,v,0.585,f,-  ,0,fa   ,g,240,3,0
b,40.58,3.29,u ,g5   ,m,v,3.5,f,-  ,0,tr   ,s,400,0,0
b,21.08,10.085,y ,p5   ,e,h,1.25,f,-  ,0,fa   ,g,260,0,0
a,22.67,0.75,u ,g5   ,c,v,2.0,f,+  ,2,tr   ,g,200,394,0
a,25.25,13.5,y ,p5   ,ff,ff,2.0,f,+  ,1,tr   ,g,200,1,0
b,17.92,0.205,u ,g5   ,aa,v,0.04,f,-  ,0,fa   ,g,280,750,0
b,35.0,3.375,u ,g5   ,c,h,8.29,f,-  ,0,tr   ,g,0,0,0
